Barkod,Kore Trendleri,Kategori,Marka,UrunAdi,psf,indirimli fiyat,Stok
8809936585894,,Cilt Bakımı,Medicube,AGE-R Vita K Refining Cream (Cilt Elastikiyetini Arttıran Krem),"1,459.00","1,021.00",17
8800240576608,,Cilt Bakımı,Medicube,Collagen Firming Sun Cream (Elastikiyet Destekleyici ve Yaşlanma Önleyici Kolajen Kompleks & Seramidli Güneş Kremi) 50ml,"1,481.00","1,037.00",10
8800240579838,,Cilt Bakımı,Medicube,Deep Lifting Peptide Eye Cream For Face (Kırışıklık Karşıtı Göz Kremi),"1,879.00","1,315.00",10
8800240576585,,Mask Bar,Medicube, Deep Peptide Radiance Mask (Kırışıklık Karşıtı-Aydınlatıcı Maske),249.00,174.00,499
8809960356620,,Cilt Bakımı,Medicube,Deep Vita A Retinol Serum (İnce Çizgi ve Elastikiyet Kaybı Önleyici %1 Granactive Retinoid & Bakuchiol İçeren Gece Serumu) 30ml,"1,699.00","1,189.00",408
8800240566944,,Cilt Bakımı,Medicube,Deep Vita C Ampoule (Koyu Leke ve İz Karşıtı Parlatıcı Saf C Vitamini Serumu) 3x10ml,"1,999.00","1,399.00",10
8800256113057,,Mask Bar,Medicube,Deep Vita C Glutathione Brightening Mask (Parlatıcı ve Leke Önleyici %98 Saf Glutatyon ve C Vitaminli Maske) 27ml,249.00,174.00,98
8800256109661,,Cilt Bakımı,Medicube,Deep Vita C Pad 70li (Leke ve Mat Görünüm Karşıtı C Vitaminli Ped) 150gr,"1,699.00","1,189.00",10
8800256112074,,Cilt Bakımı,Medicube,Exosome Cica Calming Ampoule (Stres Karşıtı ve Dengeleyici Nano-Eksozom Cica & Niacinamide İçeren Ampül) 30ml,"1,699.00","1,189.00",21
8800256112142,,Cilt Bakımı,Medicube,Exosome Cica Calming Cream (Dengeleyici Nano-Eksozom Cica ve Seramid NP İçeren 48 Saat Etkili Bakım Kremi) 50ml,"1,519.00","1,063.00",94
8800256119141,,Cilt Bakımı,Medicube,Hyaluronic Multi Peptide PDRN Serum (Işıltı ve Yatıştırıcı Etkili),"1,140.00",798.00,10
8800256114658,,Mask Bar,Medicube,Kojic Acid Turmeric Brightening Gel Mask (Parlatıcı ve Leke Önleyici Kojik Asit ve Zerdeçallı Şeffaflaşan Jel Maske) 28g,298.00,208.00,10
8800289474859,,Mask Bar,Medicube,Kojic Acid Turmeric Night Wrapping Mask (Aydınlatıcı Gece Maskesi),"1,699.00","1,189.00",328
8809981334928,,Cilt Bakımı,Medicube,One Day Exosome Shot Pore Serum 2000 (Geniş Gözenek Karşıtı Mikro Bakım Ampulü Başlangıç Seviyesi) 30ml,"1,560.00","1,092.00",10
8800256115556,,Cilt Bakımı,Medicube,One Day Exosome Shot Pore Ampoule 25000,"1,063.00",744.00,95
8809982768524,,Cilt Bakımı,Medicube,One Day Exosome Shot Pore Ampoule 7500,"1,639.00","1,147.00",10
8800289470455,,Mask Bar,Medicube,PDRN Lip Sleeping Mask (Nemli Dolgunluk ve Parlaklık Verici Pürüzsüzlüğü Koruyan PDRN İçerikli Dudak Uyku Maskesi) 10g,850.00,595.00,10
8800256115549,,Cilt Bakımı,Medicube,PDRN Pink Exosome Shot Serum 7500 (Elastikiyet Koruyucu Somon PDRN ve Eksozom Kaplı Mikro Bakım Ampulü) 30ml,"1,459.00","1,021.00",52
8800256113101,,Cilt Bakımı,Medicube,PDRN Pink Hyaluronic Moisturizing Cream,"1,140.00",798.00,10
8800289473159,,Cilt Bakımı,Medicube,PDRN Pink Niacinamide Whip Cleanser (Gözenek ve Leke Önleyici Somon PDRN ve Niacinamide İçeren Köpük Temizleyici) 120g,900.00,630.00,10
8800256115365,Kore Trendleri,Cilt Bakımı,Medicube,"PDRN Pink One Day Serum (1,5 ml x 10) (Parlatıcı ve Leke Önleyici %99 Saf Somon PDRN ve Kolajen İçeren Tek Dozluk Yoğun Serum)",830.00,581.00,339
8800256119042,,Cilt Bakımı,Medicube,PDRN Pink Peptide Eye Cream (Koyu Halka ve Kırışıklık Önleyici Somon PDRN ve %99 Saf Retinollü Göz Serumu) 30ml,991.00,694.00,10
